Année;Cote_A;Cote_null;Cote_B;Nb_BM;Equipe_A;Equipe_B;Score_A;Score_B
2021-2022;2.16;3.41;3.56;17;St Etienne;Auxerre;1;2
2021-2022;2.43;3.14;3.20;17;Auxerre;St Etienne;1;1
2021-2022;2.08;3.68;3.47;17;Angers;Montpellier;2;0
2021-2022;1.65;4.55;4.73;17;Brest;Bordeaux;2;4
2021-2022;3.61;4.16;1.92;17;Clermont;Lyon;1;2
2021-2022;3.32;3.88;2.10;17;Lens;Monaco;2;2
2021-2022;3.64;3.81;1.99;17;Lille;Rennes;2;2
2021-2022;2.22;3.56;3.27;17;Lorient;Troyes;1;1
2021-2022;2.19;3.27;3.63;17;Marseille;Strasbourg;4;0
2021-2022;2.47;3.59;2.83;17;Nantes;St Etienne;1;1
2021-2022;1.14;10.10;16.77;17;Paris SG;Metz;5;0
2021-2022;4.01;3.78;1.91;17;Reims;Nice;2;3
2021-2022;2.22;3.12;3.50;17;Auxerre;Sochaux;1;0
2021-2022;2.68;2.96;2.88;17;Paris FC;Sochaux;1;2
2021-2022;2.43;3.39;3.02;17;Bordeaux;Lorient;0;0
2021-2022;1.48;5.24;5.94;17;Lyon;Nantes;3;2
2021-2022;2.26;3.59;3.17;17;Metz;Angers;1;0
2021-2022;1.23;6.91;12.20;17;Monaco;Brest;4;2
2021-2022;8.62;6.73;1.30;17;Montpellier;Paris SG;0;4
2021-2022;1.71;4.14;4.76;17;Nice;Lille;1;3
2021-2022;1.94;3.71;4.03;17;Rennes;Marseille;2;0
2021-2022;2.01;3.51;3.90;17;St Etienne;Reims;1;2
2021-2022;1.44;4.72;7.53;17;Strasbourg;Clermont;1;0
2021-2022;3.81;3.65;2.00;17;Troyes;Lens;1;3
2021-2022;5.78;4.62;1.54;16;Nantes;Rennes;2;1
2021-2022;1.52;4.42;6.60;16;Nice;St Etienne;4;2
2021-2022;1.17;8.36;15.75;16;Paris SG;Troyes;2;2
2021-2022;3.76;3.62;2.01;16;Lorient;Marseille;0;3
2021-2022;2.39;3.45;3.01;16;Angers;Bordeaux;4;1
2021-2022;1.64;4.17;5.26;16;Clermont;Montpellier;2;1
2021-2022;3.39;3.41;2.21;16;Reims;Lens;1;2
2021-2022;8.77;6.21;1.31;16;Metz;Lyon;3;2
2021-2022;3.99;3.68;1.93;16;Brest;Strasbourg;0;1
2021-2022;3.72;3.66;2.03;16;Lille;Monaco;1;2
2021-2022;2.38;3.56;2.97;16;Marseille;Lyon;0;3
2021-2022;3.22;3.53;2.22;16;Bordeaux;Nice;0;1
2021-2022;2.85;3.27;2.62;16;Brest;Clermont;2;0
2021-2022;2.19;3.29;3.61;16;Lorient;Reims;1;2
2021-2022;1.33;5.55;9.59;16;Monaco;Angers;2;0
2021-2022;1.81;3.90;4.30;16;Montpellier;Metz;2;2
2021-2022;3.47;3.29;2.24;16;Troyes;Lille;3;0
2021-2022;1.30;5.99;9.71;16;Rennes;St Etienne;2;0
2021-2022;1.64;4.16;5.23;16;Lens;Nantes;2;2
2021-2022;3.63;3.78;2.02;16;Strasbourg;Paris SG;3;3
2021-2022;4.20;3.45;1.95;16;Reims;Marseille;0;1
2021-2022;2.75;3.18;2.81;16;Lille;Strasbourg;1;0
2021-2022;2.14;3.28;3.76;16;Clermont;Angers;2;2
2021-2022;2.67;3.27;2.79;16;Metz;Brest;0;1
2021-2022;2.12;3.64;3.44;16;Nantes;Bordeaux;5;3
2021-2022;1.49;4.49;7.01;16;Nice;Troyes;1;0
2021-2022;1.36;5.35;8.50;16;Rennes;Lorient;5;0
2021-2022;1.25;6.90;10.56;16;Paris SG;Lens;1;1
2021-2022;4.55;4.14;1.73;16;St Etienne;Monaco;1;4
2021-2022;1.38;5.63;7.58;16;Lyon;Montpellier;5;2
2021-2022;6.19;4.71;1.50;16;Angers;Paris SG;0;3
2021-2022;4.22;4.21;1.78;16;Brest;Lyon;2;1
2021-2022;1.48;4.45;7.32;16;Lens;Montpellier;2;0
2021-2022;1.57;4.24;6.15;16;Marseille;Nantes;3;2
2021-2022;2.57;3.35;2.85;16;Strasbourg;Rennes;2;1
2021-2022;2.43;3.42;2.99;16;Bordeaux;St Etienne;2;2
2021-2022;1.57;4.06;6.43;16;Lorient;Metz;1;0
2021-2022;1.81;3.75;4.58;16;Monaco;Nice;1;0
2021-2022;3.01;3.04;2.64;16;Reims;Lille;2;1
2021-2022;2.31;3.27;3.33;16;Troyes;Clermont;0;1
2021-2022;1.42;5.29;6.98;16;Paris SG;Marseille;2;1
2021-2022;1.38;5.30;7.68;16;Lyon;Bordeaux;6;1
2021-2022;2.83;3.08;2.78;16;Metz;Clermont;1;1
2021-2022;2.38;3.27;3.21;16;Montpellier;Reims;0;0
2021-2022;2.01;3.40;4.07;16;Nantes;Angers;1;1
2021-2022;4.01;3.24;2.08;16;Troyes;Strasbourg;1;1
2021-2022;1.65;4.03;5.43;16;Nice;Lorient;2;1
2021-2022;1.94;3.51;4.19;16;Lille;Lens;1;2
2021-2022;2.22;3.34;3.47;16;St Etienne;Brest;2;1
2021-2022;2.09;3.69;3.49;16;Rennes;Monaco;2;3
2021-2022;1.48;4.67;6.75;16;Marseille;Montpellier;2;0
2021-2022;2.55;3.37;2.89;16;Strasbourg;Lyon;1;1
2021-2022;2.46;3.29;3.05;16;Lens;Nice;3;0
2021-2022;3.87;3.21;2.13;16;Angers;Lille;1;1
2021-2022;2.72;3.19;2.78;16;Brest;Nantes;1;1
2021-2022;1.36;5.13;8.89;16;Monaco;Troyes;2;1
2021-2022;1.94;3.43;4.30;16;Bordeaux;Metz;3;1
2021-2022;10.84;6.43;1.26;16;Clermont;Paris SG;1;6
2021-2022;4.90;3.58;1.80;16;Reims;Rennes;2;3
2021-2022;2.17;3.18;3.81;16;Lorient;St Etienne;6;2
2021-2022;1.18;8.05;15.35;16;Paris SG;Lorient;5;1
2021-2022;1.39;5.02;8.28;16;Lyon;Angers;3;2
2021-2022;2.63;3.14;2.96;16;Clermont;Nantes;2;3
2021-2022;7.62;4.27;1.49;16;Metz;Monaco;1;2
2021-2022;2.09;3.50;3.65;16;Montpellier;Brest;1;2
2021-2022;3.44;3.16;2.32;16;St Etienne;Marseille;2;4
2021-2022;2.60;2.99;3.14;16;Troyes;Reims;1;0
2021-2022;2.14;3.36;3.66;16;Strasbourg;Lens;1;0
2021-2022;1.49;4.42;7.15;16;Lille;Bordeaux;0;0
2021-2022;2.90;3.28;2.59;16;Nice;Rennes;1;1
2021-2022;1.93;3.53;4.28;16;Marseille;Nice;2;1
2021-2022;4.32;3.63;1.89;16;Reims;Lyon;0;0
2021-2022;2.41;3.06;3.35;16;Angers;Brest;1;0
2021-2022;2.51;3.37;2.90;16;Bordeaux;Montpellier;0;2
2021-2022;3.53;3.22;2.25;16;Lorient;Strasbourg;0;0
2021-2022;1.27;5.85;12.73;16;Rennes;Metz;6;1
2021-2022;3.71;3.75;2.00;16;Monaco;Paris SG;3;0
2021-2022;2.73;3.03;2.91;16;Nantes;Lille;0;1
2021-2022;1.76;3.74;4.97;16;Lens;Clermont;3;1
2021-2022;1.90;3.41;4.45;16;St Etienne;Troyes;1;1
2021-2022;3.94;3.47;2.01;16;Brest;Marseille;1;4
2021-2022;2.03;3.66;3.67;16;Lyon;Rennes;2;4
2021-2022;2.41;2.90;3.60;16;Angers;Reims;0;1
2021-2022;2.25;3.09;3.71;16;Clermont;Lorient;0;2
2021-2022;4.96;3.78;1.75;16;Metz;Lens;0;0
2021-2022;2.75;3.13;2.84;16;Strasbourg;Monaco;1;0
2021-2022;1.13;9.70;19.44;16;Paris SG;Bordeaux;3;0
2021-2022;3.04;3.17;2.54;16;Troyes;Nantes;1;0
2021-2022;3.33;3.47;2.22;16;Montpellier;Nice;0;0
2021-2022;1.70;3.70;5.60;16;Lille;St Etienne;0;0
2021-2022;2.58;3.28;2.90;16;Marseille;Monaco;0;1
2021-2022;1.67;3.66;5.96;16;Lille;Clermont;4;0
2021-2022;2.05;3.37;3.97;16;Bordeaux;Troyes;0;2
2021-2022;1.99;3.34;4.22;16;Nantes;Montpellier;2;0
2021-2022;3.84;2.99;2.25;16;Reims;Strasbourg;1;1
2021-2022;1.42;4.54;8.66;16;Rennes;Angers;2;0
2021-2022;1.89;3.21;5.04;16;St Etienne;Metz;1;0
2021-2022;4.86;4.08;1.71;16;Nice;Paris SG;1;0
2021-2022;1.56;4.30;6.06;16;Lens;Brest;0;1
2021-2022;4.74;3.85;1.76;16;Lorient;Lyon;1;4
2021-2022;1.79;3.82;4.66;16;Lyon;Lille;0;1
2021-2022;4.77;3.72;1.79;16;Troyes;Marseille;1;1
2021-2022;3.30;3.20;2.36;16;Angers;Lens;1;2
2021-2022;2.21;3.28;3.56;16;Brest;Lorient;0;1
2021-2022;1.95;3.46;4.18;16;Clermont;Bordeaux;1;1
2021-2022;3.05;2.96;2.69;16;Metz;Nantes;0;0
2021-2022;1.44;4.49;8.19;16;Monaco;Reims;1;2
2021-2022;1.16;8.69;16.86;16;Paris SG;St Etienne;3;1
2021-2022;2.05;3.36;3.95;16;Strasbourg;Nice;0;0
2021-2022;4.75;3.79;1.77;16;Montpellier;Rennes;2;4
2021-2022;1.49;4.58;6.91;16;Marseille;Clermont;0;2
2021-2022;5.56;4.03;1.63;16;Bordeaux;Monaco;1;1
2021-2022;2.46;3.20;3.12;16;Lorient;Montpellier;0;1
2021-2022;2.36;3.15;3.36;16;Reims;Brest;1;1
2021-2022;1.33;5.10;10.68;16;Rennes;Troyes;4;1
2021-2022;3.16;3.28;2.40;16;St Etienne;Strasbourg;2;2
2021-2022;1.81;3.52;5.02;16;Nice;Angers;1;0
2021-2022;8.59;5.30;1.38;16;Nantes;Paris SG;3;1
2021-2022;3.08;3.55;2.32;16;Lens;Lyon;1;1
2021-2022;1.56;4.00;6.85;16;Lille;Metz;0;0
2021-2022;5.44;3.92;1.66;16;Metz;Marseille;1;2
2021-2022;1.58;4.46;5.51;16;Lens;Bordeaux;3;2
2021-2022;3.19;3.23;2.37;16;Angers;Strasbourg;0;1
2021-2022;1.98;3.51;4.01;16;Brest;Troyes;5;1
2021-2022;2.43;3.19;3.20;16;Clermont;St Etienne;1;2
2021-2022;2.26;3.12;3.63;16;Nantes;Reims;1;0
2021-2022;1.39;5.10;8.12;16;Monaco;Lorient;0;0
2021-2022;1.81;3.88;4.40;16;Lyon;Nice;2;0
2021-2022;3.12;3.29;2.41;16;Montpellier;Lille;0;1
2021-2022;1.55;4.52;5.87;16;Paris SG;Rennes;1;0
2021-2022;5.09;4.00;1.70;16;Lille;Paris SG;1;5
2021-2022;1.49;4.53;6.86;16;Rennes;Brest;2;0
2021-2022;1.66;3.96;5.44;16;Nice;Clermont;0;1
2021-2022;2.00;3.53;3.93;16;Reims;Bordeaux;5;0
2021-2022;1.87;3.61;4.46;16;Strasbourg;Nantes;1;0
2021-2022;2.24;3.19;3.61;16;Troyes;Metz;0;0
2021-2022;3.30;3.26;2.34;16;Lorient;Lens;2;0
2021-2022;2.13;3.57;3.50;16;Monaco;Lyon;2;0
2021-2022;2.40;3.27;3.11;16;St Etienne;Montpellier;3;1
2021-2022;1.53;4.15;7.05;16;Marseille;Angers;5;2
2021-2022;2.93;3.25;2.56;16;Lyon;Marseille;2;1
2021-2022;2.20;3.26;3.59;16;Angers;St Etienne;0;1
2021-2022;1.23;6.35;14.91;16;Paris SG;Reims;4;0
2021-2022;4.16;3.62;1.92;16;Montpellier;Monaco;3;2
2021-2022;2.09;3.12;4.17;16;Angers;Troyes;2;1
2021-2022;4.36;3.98;1.79;16;Bordeaux;Strasbourg;4;3
2021-2022;4.54;3.76;1.81;16;Clermont;Rennes;2;1
2021-2022;2.27;3.09;3.65;16;Nantes;Lorient;4;2
2021-2022;5.21;3.60;1.76;16;Metz;Nice;0;2
2021-2022;2.51;3.47;2.86;16;Lens;Marseille;0;2
2021-2022;3.29;3.41;2.27;16;Brest;Lille;2;0
2021-2022;1.40;5.08;7.86;16;Lyon;St Etienne;1;0
2021-2022;3.61;3.33;2.17;16;Clermont;Strasbourg;0;2
2021-2022;1.53;4.25;6.59;16;Lille;Lorient;3;1
2021-2022;1.73;3.90;4.91;16;Montpellier;Troyes;0;1
2021-2022;2.26;3.37;3.39;16;Marseille;Lille;1;1
2021-2022;4.49;3.83;1.81;16;Troyes;Lyon;0;1
2021-2022;2.18;3.24;3.68;16;Lorient;Angers;0;0
2021-2022;1.49;4.50;6.92;16;Monaco;Clermont;4;0
2021-2022;1.77;3.51;5.38;16;Reims;Metz;0;1
2021-2022;2.05;3.47;3.81;16;Strasbourg;Montpellier;3;1
2021-2022;1.44;4.96;7.15;16;Rennes;Bordeaux;6;0
2021-2022;1.27;6.27;10.82;16;Paris SG;Brest;2;0
2021-2022;4.15;3.79;1.87;16;St Etienne;Lens;1;2
2021-2022;1.74;3.75;4.94;16;Nice;Nantes;2;1
2021-2022;3.16;3.74;2.22;16;Lyon;Paris SG;1;1
2021-2022;4.10;3.39;2.00;16;Nantes;Monaco;0;0
2021-2022;2.45;3.08;3.27;16;Clermont;Reims;0;0
2021-2022;4.81;3.88;1.75;16;Metz;Strasbourg;0;2
2021-2022;2.77;3.37;2.62;16;Brest;Nice;0;3
2021-2022;2.63;3.44;2.72;16;Lens;Rennes;1;0
2021-2022;4.89;4.11;1.70;16;Bordeaux;Marseille;0;1
2021-2022;2.02;3.44;3.87;16;Montpellier;Angers;4;1
2021-2022;2.01;3.60;3.74;16;Nice;Lens;2;1
2021-2022;2.50;3.19;3.06;16;St Etienne;Nantes;0;1
2021-2022;2.51;3.22;3.02;16;Troyes;Brest;1;1
2021-2022;3.96;3.71;1.95;16;Bordeaux;Lille;2;3
2021-2022;6.60;4.57;1.49;16;Lorient;Paris SG;1;1
2021-2022;1.37;5.26;8.66;16;Lyon;Metz;1;1
2021-2022;1.56;4.09;6.22;16;Marseille;Reims;1;1
2021-2022;2.25;3.48;3.28;16;Monaco;Rennes;2;1
2021-2022;1.46;4.99;6.65;16;Paris SG;Monaco;2;0
2021-2022;2.33;3.36;3.22;16;Strasbourg;Marseille;0;2
2021-2022;2.02;3.40;4.04;16;Angers;Clermont;0;1
2021-2022;2.48;3.11;3.21;16;Metz;Lorient;4;1
2021-2022;1.89;3.66;4.28;16;Rennes;Nice;1;2
2021-2022;2.18;3.48;3.43;16;Troyes;Bordeaux;1;2
2021-2022;2.10;3.56;3.60;16;Lille;Lyon;0;0
2021-2022;2.25;3.20;3.56;16;Reims;St Etienne;2;0
2021-2022;2.17;3.52;3.38;16;Brest;Montpellier;0;4
2021-2022;2.78;3.22;2.72;16;Nantes;Lens;3;2
2021-2022;4.71;4.23;1.70;16;Bordeaux;Lyon;2;2
2021-2022;1.89;3.50;4.49;16;Nice;Strasbourg;0;3
2021-2022;2.70;3.09;2.87;16;Lorient;Nantes;0;1
2021-2022;1.39;4.94;8.25;16;Monaco;Metz;4;0
2021-2022;2.04;3.56;3.74;16;Montpellier;Clermont;1;0
2021-2022;2.29;3.02;3.68;16;Reims;Angers;1;2
2021-2022;3.99;3.64;1.95;16;St Etienne;Rennes;0;5
2021-2022;5.01;4.25;1.66;16;Lens;Paris SG;1;1
2021-2022;1.56;4.09;6.49;16;Lille;Troyes;2;1
2021-2022;1.58;4.34;5.75;16;Marseille;Brest;1;2
2021-2022;3.07;3.45;2.36;16;Clermont;Lens;2;2
2021-2022;1.52;4.39;6.47;16;Lyon;Reims;1;2
2021-2022;3.16;3.32;2.36;16;Nantes;Marseille;0;1
2021-2022;1.40;5.22;7.64;16;Paris SG;Nice;0;0
2021-2022;1.99;3.57;3.95;16;Rennes;Lille;1;2
2021-2022;3.36;3.29;2.29;16;Angers;Monaco;1;3
2021-2022;1.99;3.66;3.80;16;Brest;St Etienne;1;0
2021-2022;2.69;3.32;2.73;16;Metz;Montpellier;1;3
2021-2022;1.80;3.90;4.44;16;Strasbourg;Bordeaux;5;2
2021-2022;2.28;3.28;3.38;16;Troyes;Lorient;2;0
2021-2022;1.45;4.68;7.32;16;Marseille;Troyes;1;0
2021-2022;4.19;4.24;1.77;16;Montpellier;Lyon;0;1
2021-2022;2.29;3.45;3.18;16;Bordeaux;Brest;1;2
2021-2022;4.94;3.89;1.72;16;Lorient;Rennes;0;2
2021-2022;1.75;3.84;4.77;16;Monaco;Strasbourg;1;1
2021-2022;2.27;3.20;3.49;16;Reims;Clermont;1;0
2021-2022;9.53;6.27;1.29;16;St Etienne;Paris SG;1;3
2021-2022;1.38;4.98;8.80;15;Nice;Metz;0;1
2021-2022;1.69;3.82;5.24;15;Lille;Nantes;1;1
2021-2022;1.75;3.75;4.98;15;Lens;Angers;2;2
2021-2022;3.28;3.50;2.21;15;Clermont;Nice;1;2
2021-2022;1.79;3.63;4.89;15;Angers;Lorient;1;0
2021-2022;2.32;3.30;3.26;15;Metz;Bordeaux;3;3
2021-2022;1.98;3.25;4.38;15;Strasbourg;Reims;1;1
2021-2022;2.34;3.42;3.13;15;Troyes;St Etienne;0;1
2021-2022;3.42;3.48;2.17;15;Brest;Lens;4;0
2021-2022;1.46;4.72;6.92;15;Rennes;Montpellier;2;0
2021-2022;1.19;7.63;14.96;15;Paris SG;Nantes;3;1
2021-2022;2.06;3.34;3.96;15;Monaco;Lille;2;2
2021-2022;2.58;3.57;2.72;15;Rennes;Lyon;4;1
2021-2022;1.51;4.63;6.31;15;Nice;Montpellier;0;1
2021-2022;2.50;3.27;3.01;15;Lorient;Brest;1;2
2021-2022;2.58;3.14;3.00;15;Nantes;Strasbourg;2;2
2021-2022;4.33;3.43;1.93;15;Reims;Monaco;0;0
2021-2022;2.46;3.41;2.95;15;St Etienne;Clermont;3;2
2021-2022;1.41;4.92;7.81;15;Marseille;Metz;0;0
2021-2022;10.13;6.36;1.28;15;Bordeaux;Paris SG;2;3
2021-2022;1.62;3.95;5.94;15;Lille;Angers;1;1
2021-2022;1.62;4.09;5.64;15;Lens;Troyes;4;0
2021-2022;3.52;3.62;2.07;11;Clermont;Marseille;0;1
2021-2022;4.40;3.84;1.80;11;Brest;Monaco;2;0
2021-2022;2.64;3.15;2.89;11;Bordeaux;Reims;3;2
2021-2022;2.21;3.42;3.35;11;Montpellier;Nantes;2;0
2021-2022;1.88;3.51;4.36;11;Strasbourg;Lorient;4;0
2021-2022;4.03;3.64;1.92;11;Troyes;Rennes;2;2
2021-2022;3.12;3.22;2.42;11;Angers;Nice;1;2
2021-2022;1.55;4.53;5.78;11;Lyon;Lens;2;1
2021-2022;2.67;3.31;2.71;11;Metz;St Etienne;1;1
2021-2022;1.38;5.07;8.40;11;Paris SG;Lille;2;1
2021-2022;2.93;3.26;2.52;14;Nice;Marseille;1;1
2021-2022;5.59;4.60;1.56;14;Marseille;Paris SG;0;0
2021-2022;1.45;4.83;6.92;14;Monaco;Montpellier;3;1
2021-2022;1.50;4.32;7.24;14;Lens;Metz;4;1
2021-2022;2.14;3.40;3.60;14;Lorient;Bordeaux;1;1
2021-2022;2.34;3.04;3.53;14;Reims;Troyes;1;2
2021-2022;1.71;3.82;5.33;14;Rennes;Strasbourg;1;0
2021-2022;2.89;3.58;2.45;14;Nice;Lyon;3;2
2021-2022;1.50;4.38;6.99;14;Lille;Brest;1;1
2021-2022;2.20;3.46;3.39;14;Nantes;Clermont;2;1
2021-2022;2.95;3.34;2.54;14;St Etienne;Angers;2;2
2021-2022;1.55;4.24;6.30;14;Marseille;Lorient;4;1
2021-2022;2.92;3.45;2.46;14;Montpellier;Lens;1;0
2021-2022;2.77;3.21;2.74;14;Bordeaux;Nantes;1;1
2021-2022;2.29;3.19;3.46;14;Brest;Reims;1;1
2021-2022;5.17;3.91;1.71;14;Metz;Rennes;0;3
2021-2022;2.18;3.36;3.55;14;Strasbourg;St Etienne;5;1
2021-2022;4.21;3.69;1.88;14;Troyes;Nice;1;0
2021-2022;2.08;3.66;3.59;14;Lyon;Monaco;2;0
2021-2022;3.17;3.33;2.38;14;Clermont;Lille;1;0
2021-2022;1.35;5.44;8.88;14;Paris SG;Angers;2;1
2021-2022;4.47;4.14;1.74;14;St Etienne;Lyon;1;1
2021-2022;2.24;3.30;3.48;14;Lille;Marseille;2;0
2021-2022;2.51;3.37;2.89;14;Lorient;Clermont;1;1
2021-2022;1.37;5.18;8.64;14;Monaco;Bordeaux;3;0
2021-2022;1.79;3.65;4.82;14;Nantes;Troyes;2;0
2021-2022;1.92;3.37;4.46;14;Angers;Metz;3;2
2021-2022;6.85;4.95;1.44;14;Rennes;Paris SG;2;0
2021-2022;1.56;4.42;5.83;14;Nice;Brest;2;1
2021-2022;2.53;3.36;2.89;14;Montpellier;Strasbourg;1;1
2021-2022;1.96;3.46;4.13;14;Lens;Reims;2;0
2021-2022;1.74;3.83;4.93;14;Marseille;Lens;2;3
2021-2022;4.10;3.71;1.90;14;Clermont;Monaco;1;3
2021-2022;2.05;3.46;3.76;14;Brest;Metz;1;2
2021-2022;2.72;3.01;2.94;14;Reims;Nantes;3;1
2021-2022;2.80;3.20;2.70;14;Troyes;Angers;1;1
2021-2022;3.86;3.45;2.02;14;Bordeaux;Rennes;1;1
2021-2022;1.30;6.03;9.58;14;Lyon;Lorient;1;1
2021-2022;1.13;9.91;18.97;14;Paris SG;Montpellier;2;0
2021-2022;3.20;3.12;2.45;14;Strasbourg;Lille;1;2
2021-2022;3.41;3.51;2.16;14;St Etienne;Nice;0;3
2021-2022;3.25;3.22;2.38;14;Angers;Marseille;0;0
2021-2022;2.13;3.45;3.59;14;Lens;Strasbourg;0;1
2021-2022;3.50;3.46;2.15;14;Lorient;Nice;1;0
2021-2022;1.31;5.74;9.83;14;Lyon;Troyes;3;1
2021-2022;11.21;6.55;1.25;14;Metz;Paris SG;1;2
2021-2022;1.77;3.45;5.41;14;Lille;Reims;2;1
2021-2022;1.46;4.57;7.44;14;Monaco;St Etienne;3;1
2021-2022;2.08;3.69;3.48;14;Montpellier;Bordeaux;3;3
2021-2022;2.07;3.42;3.76;14;Nantes;Brest;3;1
2021-2022;2.03;3.45;3.89;14;Rennes;Clermont;6;0
2021-2022;1.32;6.02;8.91;14;Paris SG;Lyon;2;1
2021-2022;1.94;3.53;4.08;14;Marseille;Rennes;2;0
2021-2022;2.11;3.22;3.90;14;Angers;Nantes;1;4
2021-2022;1.85;3.76;4.30;14;Clermont;Brest;1;1
2021-2022;2.24;3.23;3.52;14;Reims;Lorient;0;0
2021-2022;2.43;3.48;2.94;14;Troyes;Montpellier;1;1
2021-2022;3.10;3.33;2.40;14;Nice;Monaco;2;2
2021-2022;1.89;3.63;4.27;14;St Etienne;Bordeaux;1;2
2021-2022;2.55;3.30;2.93;14;Lens;Lille;1;0
2021-2022;1.90;3.49;4.38;14;Strasbourg;Metz;3;0
2021-2022;1.56;4.41;5.97;14;Lyon;Strasbourg;3;1
2021-2022;2.98;3.17;2.58;14;Nantes;Nice;0;2
2021-2022;3.16;3.42;2.32;14;Bordeaux;Lens;2;3
2021-2022;2.63;3.25;2.84;14;Brest;Angers;1;1
2021-2022;2.45;3.28;3.05;14;Metz;Troyes;0;2
2021-2022;1.75;3.47;5.52;14;Rennes;Reims;0;2
2021-2022;2.53;3.52;2.77;14;Montpellier;St Etienne;2;0
2021-2022;1.83;3.66;4.56;14;Monaco;Marseille;0;2
2021-2022;1.32;5.62;9.46;14;Paris SG;Clermont;4;0
2021-2022;3.65;3.30;2.14;14;Lorient;Lille;2;1
2021-2022;14.33;7.42;1.19;14;Reims;Paris SG;0;2
2021-2022;1.62;4.09;5.67;14;Lille;Montpellier;2;1
2021-2022;1.66;3.88;5.53;14;Clermont;Metz;2;2
2021-2022;1.62;4.02;5.77;14;Lens;Lorient;2;2
2021-2022;1.99;3.52;3.96;14;Strasbourg;Brest;3;1
2021-2022;2.90;3.12;2.66;14;Angers;Rennes;2;0
2021-2022;4.77;3.73;1.78;14;Troyes;Monaco;1;2
2021-2022;1.68;3.93;5.23;14;Marseille;St Etienne;3;1
2021-2022;1.83;3.73;4.49;14;Nice;Bordeaux;4;0
2021-2022;4.61;3.94;1.75;14;Nantes;Lyon;0;1
2021-2022;1.68;3.76;5.57;14;Rennes;Nantes;1;0
2021-2022;3.36;3.18;2.34;14;Bordeaux;Angers;1;1
2021-2022;2.35;3.05;3.50;14;Metz;Reims;1;1
2021-2022;2.19;3.43;3.42;14;Montpellier;Lorient;3;1
2021-2022;1.98;3.51;3.96;14;Strasbourg;Troyes;1;1
2021-2022;1.60;4.39;5.30;14;Lyon;Clermont;3;3
2021-2022;3.20;3.19;2.42;14;St Etienne;Lille;1;1
2021-2022;1.75;3.77;4.96;14;Monaco;Lens;0;2
2021-2022;9.37;5.59;1.33;14;Brest;Paris SG;2;4
2021-2022;1.50;4.38;6.79;14;Marseille;Bordeaux;2;2
2021-2022;2.06;3.57;3.65;14;Lens;St Etienne;2;2
2021-2022;3.52;3.37;2.18;14;Brest;Rennes;1;1
2021-2022;1.94;3.63;4.04;14;Clermont;Troyes;2;0
2021-2022;2.16;3.25;3.72;14;Nantes;Metz;2;0
2021-2022;2.55;3.30;2.90;14;Reims;Montpellier;3;3
2021-2022;4.41;3.73;1.83;14;Angers;Lyon;3;0
2021-2022;1.23;6.81;12.45;14;Paris SG;Strasbourg;4;2
2021-2022;1.87;3.46;4.64;14;Lille;Nice;0;4
2021-2022;4.20;3.59;1.91;14;Lorient;Monaco;1;0
2021-2022;3.63;3.57;2.08;14;Montpellier;Marseille;2;3
2021-2022;4.99;3.34;1.86;14;Metz;Lille;3;3
2021-2022;2.60;3.21;2.92;14;Bordeaux;Clermont;0;2
2021-2022;1.82;3.53;4.85;14;Nice;Reims;0;0
2021-2022;2.19;3.44;3.41;14;St Etienne;Lorient;1;1
2021-2022;2.05;3.41;3.85;14;Strasbourg;Angers;0;2
2021-2022;1.92;3.62;4.10;14;Rennes;Lens;1;1
2021-2022;9.12;5.44;1.33;14;Troyes;Paris SG;1;2
2021-2022;1.37;5.40;8.21;14;Lyon;Brest;1;1
2021-2022;1.43;4.73;7.77;14;Monaco;Nantes;1;1
2020-2021;2.16;3.43;3.45;14;Nantes;Toulouse;0;1
2020-2021;2.79;3.04;2.80;14;Toulouse;Nantes;1;2
2020-2021;8.46;4.85;1.40;14;Angers;Lille;1;2
2020-2021;10.65;7.43;1.23;14;Brest;Paris SG;0;2
2020-2021;5.44;4.53;1.58;14;Lens;Monaco;0;0
2020-2021;1.21;7.84;11.85;14;Lyon;Nice;2;3
2020-2021;4.07;3.74;1.88;14;Metz;Marseille;1;1
2020-2021;1.57;4.39;5.74;14;Nantes;Montpellier;1;2
2020-2021;2.66;3.09;2.94;14;Reims;Bordeaux;1;2
2020-2021;1.24;6.53;11.80;14;Rennes;Nimes;2;0
2020-2021;1.29;5.87;10.71;14;St Etienne;Dijon;0;1
2020-2021;2.75;2.21;4.38;14;Strasbourg;Lorient;1;1
2020-2021;1.72;3.54;5.13;14;Toulouse;Grenoble;3;0
2020-2021;2.83;2.98;2.70;14;Grenoble;Paris FC;2;0
2020-2021;3.31;3.50;2.22;14;Bordeaux;Lens;3;0
2020-2021;7.99;4.84;1.41;14;Dijon;Nantes;0;4
2020-2021;1.35;5.01;9.74;14;Lille;St Etienne;0;0
2020-2021;1.65;4.00;5.50;14;Lorient;Metz;2;1
2020-2021;1.45;4.54;7.62;14;Marseille;Angers;3;2
2020-2021;1.79;3.89;4.53;14;Monaco;Rennes;2;1
2020-2021;2.45;3.77;2.73;14;Montpellier;Brest;0;0
2020-2021;3.22;3.42;2.30;14;Nice;Strasbourg;0;2
2020-2021;8.63;6.16;1.31;14;Nimes;Lyon;2;5
2020-2021;1.12;9.97;21.79;14;Paris SG;Reims;4;0
2020-2021;6.33;4.43;1.53;14;Rennes;Paris SG;1;1
