Année;Cote_A;Cote_null;Cote_B;Nb_BM;Equipe_A;Equipe_B;Score_A;Score_B
2022-2023;5.25;4.22;1.64;16;Rennes;Paris SG;1;0
2022-2023;1.40;4.73;8.75;16;Monaco;AC Ajaccio;7;1
2022-2023;2.39;3.35;3.11;16;Angers;Clermont;1;2
2022-2023;2.48;3.29;3.02;16;Montpellier;Nantes;0;3
2022-2023;2.52;3.25;2.98;16;Reims;Nice;0;0
2022-2023;1.86;3.70;4.32;16;Toulouse;Brest;1;1
2022-2023;1.48;4.54;7.11;16;Lille;Troyes;5;1
2022-2023;1.61;4.17;5.53;16;Lyon;Strasbourg;1;2
2022-2023;1.43;4.91;7.17;16;Marseille;Lorient;3;1
2022-2023;1.34;5.31;9.77;16;Lens;Auxerre;1;0
2022-2023;4.43;3.98;1.79;16;Lorient;Monaco;2;2
2022-2023;1.86;3.64;4.40;16;Nice;Montpellier;6;1
2022-2023;1.19;7.85;15.38;16;Paris SG;Angers;2;0
2022-2023;3.85;3.35;2.09;16;Strasbourg;Lens;2;2
2022-2023;5.27;4.01;1.67;16;Troyes;Marseille;0;2
2022-2023;3.36;3.13;2.37;16;AC Ajaccio;Reims;0;1
2022-2023;3.02;3.37;2.44;16;Auxerre;Toulouse;0;5
2022-2023;4.42;3.72;1.84;16;Brest;Lille;0;0
2022-2023;4.16;3.45;1.97;16;Clermont;Rennes;2;1
2022-2023;3.74;3.59;2.03;16;Nantes;Lyon;0;0
2022-2023;1.88;3.69;4.30;16;Rennes;Nice;2;1
2022-2023;5.27;4.14;1.65;16;Montpellier;Marseille;1;2
2022-2023;1.64;4.09;5.44;16;Lille;Reims;1;1
2022-2023;1.90;3.71;4.10;16;Strasbourg;Troyes;2;3
2022-2023;3.72;3.56;2.05;16;Lens;Paris SG;3;1
2022-2023;1.57;4.37;5.81;16;Lyon;Clermont;0;1
2022-2023;2.57;3.39;2.81;16;Angers;Lorient;1;2
2022-2023;1.51;4.69;6.04;16;Monaco;Brest;1;0
2022-2023;1.89;3.47;4.52;16;Nantes;Auxerre;1;0
2022-2023;2.13;3.39;3.62;16;Toulouse;AC Ajaccio;2;0
2022-2023;1.41;5.25;7.29;16;Marseille;Toulouse;6;1
2022-2023;3.06;3.15;2.55;16;Nice;Lens;0;0
2022-2023;3.23;3.42;2.30;16;Reims;Rennes;3;1
2022-2023;1.91;3.79;3.96;16;Lorient;Montpellier;0;2
2022-2023;3.31;3.59;2.18;16;Brest;Lyon;2;4
2022-2023;1.21;7.09;13.48;16;Paris SG;Strasbourg;2;1
2022-2023;4.40;3.58;1.87;16;Clermont;Lille;0;2
2022-2023;4.86;4.12;1.69;16;Auxerre;Monaco;2;3
2022-2023;2.25;3.34;3.37;16;AC Ajaccio;Angers;1;0
2022-2023;2.72;3.46;2.58;16;Troyes;Nantes;0;0
2022-2023;2.36;3.56;3.01;15;Monaco;Marseille;2;3
2022-2023;2.38;3.41;3.06;15;Strasbourg;Lorient;1;1
2022-2023;2.11;3.59;3.46;15;Brest;Troyes;2;1
2022-2023;1.28;5.98;10.80;15;Lille;Angers;1;0
2022-2023;2.79;3.33;2.62;15;Montpellier;Reims;1;1
2022-2023;2.13;3.19;3.88;15;Nantes;AC Ajaccio;2;2
2022-2023;1.12;10.35;19.51;15;Paris SG;Auxerre;5;0
2022-2023;1.60;4.38;5.40;15;Rennes;Toulouse;2;1
2022-2023;1.47;4.53;7.26;15;Lens;Clermont;2;1
2022-2023;1.76;3.81;4.83;15;Lyon;Nice;1;1
2022-2023;2.13;3.59;3.47;15;Marseille;Lyon;1;0
