,Equipe_D,Equipe_E,Cote_D,Cote_N,Cote_E,Score_D,Score_E,Saison,Winner_D,Winner_E,Elo_D_Before,Elo_D,Elo_E_Before,Elo_E,Diff_Victoire,Diff_Nul,Diff_Defaite,Diff_But,Diff_Encaisse,Diff_Moyenne_cote,Diff_Elo_Before,Points_a,Points_b,Diff_Points,PCA1,PCA2,PCA3
0,Rennes,Paris SG,5.25,4.22,1.64,1,0,2022-2023,1,0,1611.408412930292,1625.1889977939557,1749.615654389437,1735.8350695257732,-2,1,1,-5,3,0.8840000000000001,-138.20724145914505,34,47,-13,-1.1116340038018566,-0.6867288840464318,-0.0645426834594915
1,Monaco,AC Ajaccio,1.4,4.73,8.75,7,1,2022-2023,1,0,1649.0382501686124,1653.480749751365,1431.3132799220093,1426.8707803392567,1,0,-1,3,0,-1.33,217.7249702466031,34,15,19,1.5697512594844214,-0.37523030642873473,0.5465312034011058
2,Angers,Clermont,2.39,3.35,3.11,1,2,2022-2023,0,1,1396.3130772946927,1388.9661158582617,1490.747905853133,1498.094867289564,-2,-1,3,-3,2,2.7279999999999998,-94.43482855844036,8,25,-17,-1.404862014490362,-0.033647162838761915,0.06357920654815657
3,Montpellier,Nantes,2.48,3.29,3.02,0,3,2022-2023,0,1,1451.055937035972,1442.7396270457668,1510.1156796489565,1518.4319896391617,0,-1,1,3,7,1.1099999999999994,-59.059742612984564,17,18,-1,-0.09188367881463362,0.06603586352289785,2.0962965878305413
4,Reims,Nice,2.52,3.25,2.98,0,0,2022-2023,0,0,1535.2792420580015,1536.2036217177463,1567.4874281266632,1566.5630484669184,1,0,-1,-2,-1,-0.011999999999999567,-32.20818606866169,24,24,0,0.022165995024108365,-0.1570953940142904,-0.5653700581702926
5,Toulouse,Brest,1.86,3.7,4.32,1,1,2022-2023,0,0,1448.7790626422131,1449.0241353059646,1457.2954643589392,1457.0503916951877,1,-1,0,5,3,0.03399999999999981,-8.516401716726023,22,14,8,0.6983400173695663,0.4349645647624692,1.4423323239517245
6,Lille,Troyes,1.48,4.54,7.11,5,1,2022-2023,1,0,1605.7377327141664,1611.6435440423106,1454.6335277711398,1448.7277164429956,1,1,-2,0,-5,-1.7759999999999994,151.10420494302662,31,18,13,1.120590254419123,-0.11604117102973108,-1.1936015031986964
7,Lyon,Strasbourg,1.61,4.17,5.53,1,2,2022-2023,0,1,1573.3987829362761,1561.3888999777773,1502.6045293335949,1514.6144122920937,1,0,-1,-3,-7,-2.63,70.79425360268124,25,12,13,1.098837590741844,-0.6275447088722053,-1.969027130469062
8,Marseille,Lorient,1.43,4.91,7.17,3,1,2022-2023,1,0,1656.2021302778912,1662.4648608714251,1519.7474560555281,1513.4847254619942,4,-2,-2,8,-4,-2.154,136.4546742223631,39,32,7,0.784664039051909,2.196277757976372,-0.009363284560990982
9,Lens,Auxerre,1.34,5.31,9.77,1,0,2022-2023,1,0,1648.8323538044735,1653.6472593289077,1449.300462514683,1444.4855569902488,3,1,-4,6,-10,-4.824,199.53189128979056,41,13,28,2.4713214923640883,1.0041302451594787,-1.59809057311522
10,Lorient,Monaco,4.43,3.98,1.79,2,2,2022-2023,0,0,1516.0020962175483,1519.7474560555281,1652.7836100065922,1649.0382501686124,-3,1,2,-5,3,1.9300000000000002,-136.78151378904386,31,33,-2,-0.2760028483186422,-1.5682113154841097,0.17241006911836043
11,Nice,Montpellier,1.86,3.64,4.4,6,1,2022-2023,1,0,1560.3455972634501,1567.4874281266632,1458.197767899185,1451.055937035972,1,0,-1,0,-3,-1.2479999999999998,102.14782936426514,21,17,4,0.3916151314287843,0.23089533701545636,-0.7616940016054532
12,Paris SG,Angers,1.19,7.85,15.38,2,0,2022-2023,1,0,1747.2451736515236,1749.615654389437,1398.683558032606,1396.3130772946927,4,0,-4,12,0,-4.448,348.5616156189176,44,8,36,3.0793102589728822,0.9450970407992055,1.6789059553766905
13,Strasbourg,Lens,3.85,3.35,2.09,2,2,2022-2023,0,0,1498.4273595831085,1502.6045293335949,1653.00952355496,1648.8323538044735,-4,1,3,-2,9,2.554,-154.58216397185151,11,40,-29,-2.4101822073339134,0.1827477426351347,1.632161504988042
14,Troyes,Marseille,5.27,4.01,1.67,0,2,2022-2023,0,1,1459.6173001470154,1454.6335277711398,1651.2183579020157,1656.2021302778912,-3,1,2,-6,3,5.42,-191.60105775500028,18,36,-18,-1.5572742885083788,-0.8054079320665748,-0.13867481406575358
15,AC Ajaccio,Reims,3.36,3.13,2.37,0,1,2022-2023,0,1,1438.8068217832376,1431.3132799220093,1527.7857001967732,1535.2792420580015,0,-2,2,1,4,-0.06999999999999984,-88.97887841353554,15,21,-6,-0.47481548786528777,0.20554759965772829,1.1212615094723437
16,Auxerre,Toulouse,3.02,3.37,2.44,0,5,2022-2023,0,1,1459.9263242831275,1449.300462514683,1438.1532008737686,1448.7790626422131,0,1,-1,0,-3,2.4960000000000004,21.77312340935896,13,19,-6,-0.4177697154427656,0.7336889169643345,-0.8820970026910202
17,Brest,Lille,4.42,3.72,1.84,0,0,2022-2023,0,0,1453.0632164926017,1457.2954643589392,1609.969980580504,1605.7377327141664,-1,-1,2,-1,4,1.596,-156.90676408790227,13,30,-17,-1.3771523824296084,0.3782380315638868,0.7134222098139675
18,Clermont,Rennes,4.16,3.45,1.97,2,1,2022-2023,1,0,1476.7106347532047,1490.747905853133,1625.4456840302203,1611.408412930292,-2,1,1,-5,0,2.6160000000000005,-148.7350492770156,22,34,-12,-1.0137659640286167,-0.5134532055254838,-0.7441890956313308
19,Nantes,Lyon,3.74,3.59,2.03,0,0,2022-2023,0,0,1508.2080930126683,1510.1156796489565,1575.3063695725643,1573.3987829362761,-1,2,-1,-2,-1,0.1980000000000004,-67.09827655989602,17,24,-7,-0.5376595621320783,0.14567822722782328,-0.7171273777833429
20,Rennes,Nice,1.88,3.69,4.3,2,1,2022-2023,1,0,1616.8138945736503,1625.4456840302203,1568.9773867200201,1560.3455972634501,1,-2,1,4,3,-0.8199999999999998,47.83650785363011,31,21,10,0.8399908374369973,0.047731648997023805,1.419000821964875
21,Montpellier,Marseille,5.27,4.14,1.65,1,2,2022-2023,0,1,1463.3765378835026,1458.197767899185,1646.039587917698,1651.2183579020157,-2,1,1,-7,1,2.13,-182.66305003419552,17,33,-16,-1.3610913146161667,-0.7718033121175939,-0.813365735105317
22,Lille,Reims,1.64,4.09,5.44,1,1,2022-2023,0,0,1612.4255663356457,1609.969980580504,1525.3301144416314,1527.7857001967732,0,-1,1,1,2,-0.21599999999999975,87.09545189401433,29,20,9,0.7178413839587424,-0.5468195235746719,0.7856353916053028
23,Strasbourg,Troyes,1.9,3.71,4.1,2,3,2022-2023,0,1,1510.2032468540965,1498.4273595831085,1447.8414128760273,1459.6173001470154,0,0,0,1,2,-2.1359999999999992,62.36183397806917,11,15,-4,-0.2745839729099187,0.4079724583322453,0.4810251321572851
24,Lens,Paris SG,3.72,3.56,2.05,3,1,2022-2023,1,0,1639.6629761946656,1653.00952355496,1760.591721011818,1747.2451736515236,-1,1,0,-8,-3,0.9319999999999999,-120.92874481715239,37,44,-7,-0.6137991772710805,-1.0622083002554725,-1.8316456178131308
25,Lyon,Clermont,1.57,4.37,5.81,0,1,2022-2023,0,1,1588.7698069021553,1575.3063695725643,1463.2471974236137,1476.7106347532047,3,-1,-2,4,-4,-1.7500000000000004,125.52260947854165,24,19,5,0.5609766467552636,1.3592618676892594,-0.5415246901753233
26,Angers,Lorient,2.57,3.39,2.81,1,2,2022-2023,0,1,1405.8006549373235,1398.683558032606,1508.8849993128308,1516.0020962175483,0,-2,2,-3,-1,2.5760000000000005,-103.08434437550727,8,28,-20,-1.5858281466066109,0.6539322753988355,-0.7350759824308455
27,Monaco,Brest,1.51,4.69,6.04,1,0,2022-2023,1,0,1647.758113909313,1652.7836100065922,1458.088712589881,1453.0632164926017,1,-1,0,5,2,-1.1059999999999999,189.66940131943193,30,13,17,1.415926134897114,-0.04373572989788833,1.3213865692953948
28,Nantes,Auxerre,1.89,3.47,4.52,1,0,2022-2023,1,0,1499.0695570340126,1508.2080930126683,1469.0648602617832,1459.9263242831275,-1,3,-2,-1,-6,-4.234,30.00469677222941,14,13,1,0.18610885433338753,0.4471721173116326,-1.821190855490025
29,Toulouse,AC Ajaccio,2.13,3.39,3.62,2,0,2022-2023,1,0,1427.5233179149202,1438.1532008737686,1449.436704742086,1438.8068217832376,-2,0,2,-3,7,-0.1559999999999997,-21.913386827165823,16,15,1,-0.03485875279112596,-1.5715884291467377,1.4135941767325937
30,Marseille,Toulouse,1.41,5.25,7.29,6,1,2022-2023,1,0,1641.4270579996662,1646.039587917698,1432.135847832952,1427.5233179149202,1,0,-1,0,-5,-0.19199999999999973,209.2912101667141,30,16,14,1.1827849159347386,-0.2692450807567803,-1.0752408845377164
31,Nice,Lens,3.06,3.15,2.55,0,0,2022-2023,0,0,1566.8534593859995,1568.9773867200201,1641.7869035286863,1639.6629761946656,-3,3,0,-3,2,0.7939999999999998,-74.93344414268677,20,36,-16,-1.306732340232768,0.022128189418866726,-0.21405529299377657
32,Reims,Rennes,3.23,3.42,2.3,3,1,2022-2023,1,0,1512.057907881011,1525.3301144416314,1630.0861011342706,1616.8138945736503,-2,2,0,-7,-3,0.3979999999999997,-118.02819325325959,17,31,-14,-1.1468221024730834,-0.44464453236457124,-1.8489883053821194
33,Lorient,Montpellier,1.91,3.79,3.96,0,2,2022-2023,0,1,1520.8578404176274,1508.8849993128308,1451.403696778706,1463.3765378835026,0,1,-1,2,-1,-1.0120000000000005,69.45414363892132,28,14,14,1.167856440104593,-0.2574975442831308,0.09019339643322163
34,Brest,Lyon,3.31,3.59,2.18,2,4,2022-2023,0,1,1464.8382715235011,1458.088712589881,1582.0202479685352,1588.7698069021553,0,0,0,0,1,0.7239999999999998,-117.18197644503402,13,21,-8,-0.6085654212994862,0.4824487033648872,0.1018405305870798
35,Paris SG,Strasbourg,1.21,7.09,13.48,2,1,2022-2023,1,0,1756.6215549831923,1760.591721011818,1514.1734128827222,1510.2032468540965,5,-3,-2,8,-8,-1.726,242.44814210047002,41,11,30,2.6186408032562407,1.1119173077493412,-0.5914230054756905
36,Clermont,Lille,4.4,3.58,1.87,0,2,2022-2023,0,1,1469.5047647640824,1463.2471974236137,1606.167998995177,1612.4255663356457,-3,2,1,-4,3,2.432,-136.66323423109452,19,26,-7,-0.6484159941407845,-0.9747748246734285,0.14522608159461575
37,Auxerre,Monaco,4.86,4.12,1.69,2,3,2022-2023,0,1,1474.5819317393016,1469.0648602617832,1642.2410424317945,1647.758113909313,-1,1,0,-6,1,4.7299999999999995,-167.65911069249296,13,27,-14,-1.196375917043429,-0.6091576249420115,-0.6792988779576319
38,AC Ajaccio,Angers,2.25,3.34,3.37,1,0,2022-2023,1,0,1440.157230977045,1449.436704742086,1415.0801287023646,1405.8006549373235,1,2,-3,3,-1,-1.4860000000000007,25.07710227468033,12,8,4,0.4255839943570624,0.8187506351067327,-0.08226405227768514
39,Troyes,Nantes,2.72,3.46,2.58,0,0,2022-2023,0,0,1446.2902808921745,1447.8414128760273,1500.6206890178655,1499.0695570340126,-1,0,1,0,4,4.372,-54.330408125691065,14,13,1,0.022457170020019405,-0.6000186156363689,1.067259682859181
40,Monaco,Marseille,2.36,3.56,3.01,2,3,2022-2023,0,1,1652.8758021769977,1642.2410424317945,1630.792298254463,1641.4270579996662,2,0,-2,6,-1,-1.0879999999999996,22.083503922534646,27,27,0,0.1581741769942296,1.762193093716203,0.3301299805390284
41,Strasbourg,Lorient,2.38,3.41,3.06,1,1,2022-2023,0,0,1513.969298158464,1514.1734128827222,1521.0619551418856,1520.8578404176274,0,0,0,3,6,-0.8580000000000001,-7.092656983421648,10,27,-17,-1.3065198712076704,1.3127762072907796,1.505554355551643
42,Brest,Troyes,2.11,3.59,3.46,2,1,2022-2023,1,0,1454.7939269460073,1464.8382715235011,1456.3346254696683,1446.2902808921745,1,-2,1,-4,-3,-4.06,-1.5406985236609216,10,14,-4,-0.2793349418063866,-0.16666071846189862,-1.2476122621358596
43,Lille,Angers,1.28,5.98,10.8,1,0,2022-2023,1,0,1600.9444264280069,1606.167998995177,1420.3037012695347,1415.0801287023646,3,1,-4,3,-7,-2.2360000000000007,180.64072515847215,23,8,15,1.3682830896554925,0.8695875712782449,-1.3985325065240928
44,Montpellier,Reims,2.79,3.33,2.62,1,1,2022-2023,0,0,1449.5734276619396,1451.403696778706,1513.8881769977775,1512.057907881011,-2,-2,4,-1,8,1.4960000000000004,-64.31474933583786,13,16,-3,-0.3479765529057828,-1.099009444675622,2.019085156494829
45,Nantes,AC Ajaccio,2.13,3.19,3.88,2,2,2022-2023,0,0,1502.4453384857097,1500.6206890178655,1438.3325815092007,1440.157230977045,-1,1,0,-1,-1,-2.1180000000000003,64.11275697650899,12,11,1,0.10919196954057986,-0.16571474310256123,-0.4296996532881716
46,Paris SG,Auxerre,1.12,10.35,19.51,5,0,2022-2023,1,0,1753.2179931610458,1756.6215549831923,1477.9854935614478,1474.5819317393016,3,-1,-2,5,-2,-2.24,275.232499599598,38,13,25,2.1118020911291198,0.0820276504863121,0.35444340787617235
47,Rennes,Toulouse,1.6,4.38,5.4,2,1,2022-2023,1,0,1625.0204168753862,1630.0861011342706,1437.2015320918365,1432.135847832952,3,-1,-2,6,-6,-1.6640000000000001,187.81888478354972,28,16,12,1.1546900207018205,1.5200327539337677,-0.6730253570311953
48,Lens,Clermont,1.47,4.53,7.26,2,1,2022-2023,1,0,1636.113882615119,1641.7869035286863,1475.1777856776496,1469.5047647640824,3,-3,0,1,-5,-1.616,160.93609693746953,33,19,14,1.2164776662321382,0.085597374035411,-0.8464179409817748
49,Lyon,Nice,1.76,3.81,4.83,1,1,2022-2023,0,0,1582.4830959646022,1582.0202479685352,1566.3906113899325,1566.8534593859995,-1,-1,2,-2,1,0.30400000000000027,16.092484574669697,20,19,1,0.04740623775317838,-0.7288964819756039,0.12516472536771373
50,Marseille,Lyon,2.13,3.59,3.47,1,0,2022-2023,1,0,1621.6545935056934,1630.792298254463,1591.6208007133719,1582.4830959646022,-1,0,1,0,0,0.6099999999999999,30.033792792321492,24,20,4,0.3231314465665359,-0.3477618911357891,0.09669016169047392
51,Lille,Rennes,2.1,3.54,3.58,1,1,2022-2023,0,0,1600.2105396193451,1600.9444264280069,1625.754303684048,1625.0204168753862,-2,0,2,-5,2,0.9179999999999999,-25.543764064702827,22,27,-5,-0.484520206739514,-1.1773652212615984,-0.10339103101796454
52,Clermont,Montpellier,2.47,3.45,2.87,1,1,2022-2023,0,0,1475.958065505614,1475.1777856776496,1448.7931478339751,1449.5734276619396,2,2,-4,5,-5,-1.3599999999999999,27.164917671638932,18,12,6,0.6638078323534717,1.6249829505167344,-0.8242530262148716
53,Nice,Brest,1.85,3.72,4.32,1,0,2022-2023,1,0,1559.1132686385595,1566.3906113899325,1462.0712696973803,1454.7939269460073,1,0,-1,2,-1,1.3659999999999997,97.04199894117914,16,10,6,0.5375072722989037,0.29853036208186035,0.028957397283837057
54,Reims,Nantes,2.18,3.47,3.4,1,0,2022-2023,1,0,1503.6269013331241,1513.8881769977775,1512.706614150363,1502.4453384857097,0,2,-2,-3,-7,-0.4639999999999995,-9.079712817238942,13,12,1,0.14951108970147514,0.09451513406493743,-2.2228100435523266
55,Toulouse,Monaco,3.11,3.8,2.2,0,2,2022-2023,0,1,1441.874882151945,1437.2015320918365,1648.2024521168892,1652.8758021769977,-1,1,0,-2,4,1.716,-206.32756996494413,16,24,-8,-0.6833763816135473,-0.3353676533187474,0.5705469975613889
56,Lorient,Paris SG,8.43,5.69,1.34,1,2,2022-2023,0,1,1525.390662792376,1521.0619551418856,1748.8892855105555,1753.2179931610458,-2,1,1,-3,2,1.5459999999999998,-223.4986227181796,27,35,-8,-0.6877808894835047,-0.4983843895739974,0.02233780321357705
57,Angers,Lens,5.62,3.99,1.63,1,2,2022-2023,0,1,1424.9741295694387,1420.3037012695347,1631.4434543152151,1636.113882615119,-4,0,4,-1,12,2.3280000000000003,-206.46932474577648,8,30,-22,-1.8868025228050578,-0.38472934224332606,2.6556112727649275
58,AC Ajaccio,Strasbourg,3.09,3.08,2.55,4,2,2022-2023,1,0,1425.496607663157,1438.3325815092007,1526.8052720045077,1513.969298158464,0,-1,1,-4,-3,2.3599999999999994,-101.30866434135078,8,10,-2,-0.1741648937558524,-0.5161542531584599,-1.147249929918132
59,Troyes,Auxerre,2.06,3.55,3.67,1,1,2022-2023,0,0,1455.6744206791996,1456.3346254696683,1478.6456983519165,1477.9854935614478,-1,1,0,5,6,4.004,-22.97127767271695,13,12,1,0.08156198114060824,0.37927907068576044,2.066337836964465
60,Lyon,Lille,2.0,3.79,3.66,1,0,2022-2023,1,0,1580.750006007131,1591.6208007133719,1611.0813343255859,1600.2105396193451,-3,1,2,-6,1,0.6700000000000004,-30.33132831845478,17,22,-5,-0.49408936668623055,-1.3783311114212897,-0.49253852992978353
61,Lorient,Nice,2.65,3.25,2.76,1,2,2022-2023,0,1,1534.9718296376768,1525.390662792376,1549.5321017932586,1559.1132686385595,2,0,-2,3,-2,-1.1979999999999995,-14.560272155581742,27,13,14,1.213645410013055,0.26823782704995597,-0.06260007645320582
62,Brest,Reims,2.75,3.39,2.58,0,0,2022-2023,0,0,1460.8093225835198,1462.0712696973803,1504.8888484469846,1503.6269013331241,0,-2,2,2,3,-1.1679999999999997,-44.07952586346482,9,12,-3,-0.20916857256347451,0.34375041794931405,1.031127190812546
63,Monaco,Angers,1.45,4.96,6.7,2,0,2022-2023,1,0,1643.6894843243651,1648.2024521168892,1429.4870973619627,1424.9741295694387,2,1,-3,7,-5,-2.4219999999999997,214.20238696240244,21,8,13,1.239134892529984,1.5732718350619659,-0.4125975314732661
64,Nantes,Clermont,1.97,3.66,3.87,1,1,2022-2023,0,0,1513.8239568360539,1512.706614150363,1474.8407228199233,1475.958065505614,-1,1,0,-2,0,0.9299999999999997,38.98323401613061,11,17,-6,-0.4803453059595316,-0.08139736022479437,-0.3712334379810951
65,Rennes,Montpellier,1.37,5.48,8.15,3,0,2022-2023,1,0,1620.1953743794732,1625.754303684048,1454.35207713855,1448.7931478339751,3,1,-4,7,-5,-1.9460000000000006,165.84329724092322,24,12,12,1.1703757506378814,1.75985471457954,-0.47602238249561024
66,Auxerre,AC Ajaccio,2.74,3.09,2.86,1,0,2022-2023,1,0,1469.6544307170116,1478.6456983519165,1434.487875298062,1425.496607663157,-2,1,1,0,1,-2.3180000000000005,35.166555418949656,9,8,1,0.09180231168079349,-0.2560888261144598,0.2237283251207504
67,Strasbourg,Marseille,3.52,3.51,2.12,2,2,2022-2023,0,0,1523.991319056079,1526.8052720045077,1624.468546454122,1621.6545935056934,0,0,0,2,7,0.12200000000000033,-100.47722739804294,9,23,-14,-1.1051355076691762,0.779975902543941,1.6845949099640842
68,Paris SG,Troyes,1.1,11.92,25.08,4,3,2022-2023,1,0,1745.66929242703,1748.8892855105555,1458.894413762725,1455.6744206791996,3,-2,-1,-3,-8,-1.7079999999999997,286.7748786643051,32,13,19,1.5839610181442707,-0.7963208536727101,-2.0557808442444836
69,Lens,Toulouse,1.69,4.12,4.89,3,0,2022-2023,1,0,1626.184479118595,1631.4434543152151,1447.1338573485652,1441.874882151945,1,-1,0,-8,-8,-1.0620000000000003,179.0506217700297,27,16,11,0.8656923065447872,-1.5927885316238672,-2.740519946374394
70,Lille,Monaco,2.5,3.64,2.78,4,3,2022-2023,1,0,1599.4891595046386,1611.0813343255859,1655.2816591453125,1643.6894843243651,-1,-1,2,-4,2,0.6020000000000003,-55.792499640673896,19,21,-2,-0.22746437759162044,-1.0704252852254268,0.08266011302866857
71,Nice,Nantes,2.06,3.38,3.78,1,1,2022-2023,0,0,1550.618079088612,1549.5321017932586,1512.7379795407005,1513.8239568360539,1,0,-1,-1,-5,-0.3680000000000003,37.88009954791141,12,10,2,0.23689942292600524,0.30821739929948855,-1.3799691722143637
72,Clermont,Brest,2.14,3.48,3.52,1,3,2022-2023,0,1,1485.8761027363132,1474.8407228199233,1449.7739426671299,1460.8093225835198,2,1,-3,4,-3,-2.758,36.102160069183356,17,6,11,1.021047326998786,0.8662967682240689,-0.33008415728332
73,Reims,Auxerre,1.88,3.66,4.25,2,1,2022-2023,1,0,1495.353757146136,1504.8888484469846,1479.18952201786,1469.6544307170116,0,1,-1,-2,-6,0.0600000000000005,16.164235128276005,9,9,0,0.06738810182409591,0.22498982070618628,-1.789361061290732
74,Toulouse,Strasbourg,2.24,3.55,3.21,2,2,2022-2023,0,0,1444.8312134616503,1447.1338573485652,1526.2939629429939,1523.991319056079,2,0,-2,5,-3,0.722,-81.46274948134351,15,8,7,0.6965895273172638,1.223634379304797,-0.13845725882745746
75,Troyes,Lorient,2.5,3.4,2.86,2,2,2022-2023,0,0,1456.614269766898,1458.894413762725,1537.251973633504,1534.9718296376768,-3,1,2,-2,3,1.0739999999999994,-80.63770386660599,12,26,-14,-1.1590011883040958,-0.09337981663488719,0.3410063571622675
76,Angers,Rennes,5.3,4.33,1.61,1,2,2022-2023,0,1,1434.7195000699814,1429.4870973619627,1614.9629716714544,1620.1953743794732,-2,-1,3,-8,6,1.5780000000000003,-180.24347160147295,8,21,-13,-1.2015976604678706,-1.74612064096542,0.46325636860567804
77,Marseille,Lens,2.22,3.46,3.37,0,1,2022-2023,0,1,1635.0263334599313,1624.468546454122,1615.6266921127856,1626.184479118595,-1,0,1,4,4,0.9079999999999999,19.39964134714569,23,24,-1,-0.05141909046611342,0.4900539655481372,1.4693038444381574
78,Montpellier,Lyon,3.77,3.73,1.98,1,2,2022-2023,0,1,1461.2183880367022,1454.35207713855,1573.8836951089788,1580.750006007131,1,-1,0,1,2,0.8820000000000006,-112.66530707227662,12,14,-2,-0.13215255619283317,0.2882104518603355,0.5803072735380611
79,AC Ajaccio,Paris SG,11.63,5.82,1.28,0,3,2022-2023,0,1,1437.4301245883191,1434.487875298062,1742.7270431367729,1745.66929242703,-2,0,2,0,5,2.7880000000000003,-305.29691854845373,8,29,-21,-1.6992054948094175,0.6674974575692368,1.0069624916751192
80,Paris SG,Marseille,1.43,5.09,7.05,1,0,2022-2023,1,0,1735.3396631620553,1742.7270431367729,1642.4137134346488,1635.0263334599313,1,0,-1,-2,-3,-0.5900000000000001,92.92594972740653,26,23,3,0.2803344555398126,-0.15848669144854804,-1.0087734904669474
81,Monaco,Clermont,1.36,5.45,8.21,1,1,2022-2023,0,0,1660.0188757787553,1655.2816591453125,1481.1388861028704,1485.8761027363132,2,-1,-1,4,-3,-1.1580000000000008,178.87998967588487,20,16,4,0.456579591492645,1.1895927977273908,-0.2524615400180455
82,Auxerre,Nice,3.63,3.47,2.1,1,1,2022-2023,0,0,1477.0439983295748,1479.18952201786,1552.7636027768972,1550.618079088612,-2,1,1,-2,7,-0.0699999999999994,-75.71960444732235,8,11,-3,-0.32677829135464,-1.0353311260370657,1.395381861207248
83,Nantes,Brest,2.22,3.4,3.37,4,1,2022-2023,1,0,1504.042189162522,1512.7379795407005,1458.4697330453084,1449.7739426671299,0,-1,1,0,7,-0.7079999999999993,45.572456117213505,7,6,1,0.03195996471497811,-0.6889365548079402,1.7371800573000307
84,Rennes,Lyon,2.17,3.71,3.24,3,2,2022-2023,1,0,1605.6057984609124,1614.9629716714544,1583.2408683195208,1573.8836951089788,3,1,-4,10,-5,-0.6840000000000002,22.364930141391596,18,14,4,0.5840159947169008,2.924027676896183,-0.21575378718610522
85,Troyes,AC Ajaccio,2.26,3.13,3.57,1,1,2022-2023,0,0,1457.199450212829,1456.614269766898,1436.844944142388,1437.4301245883191,-1,2,-1,4,2,0.2560000000000002,20.354506070441175,11,7,4,0.37246034850991927,0.4632656837506741,0.895247770929525
86,Toulouse,Angers,1.85,3.92,4.04,3,2,2022-2023,1,0,1434.5293190198452,1444.8312134616503,1445.0213945117866,1434.7195000699814,0,1,-1,2,-5,-1.2440000000000002,-10.492075491941478,12,8,4,0.4346946569937871,0.7787778518478018,-1.0247089165033647
87,Lens,Montpellier,1.47,4.76,6.86,1,0,2022-2023,1,0,1609.5044576471819,1615.6266921127856,1467.340622502306,1461.2183880367022,1,2,-3,-3,-10,-1.1760000000000006,142.16383514487597,21,12,9,0.8198356291662353,-0.01189964254986337,-2.88808981001288
88,Lorient,Reims,2.38,3.36,3.06,0,0,2022-2023,0,0,1538.5242053449347,1537.251973633504,1494.0815254347053,1495.353757146136,5,-3,-2,10,-1,-1.0299999999999994,44.442679910229344,25,8,17,1.5588397444631648,1.7523368312973937,1.1448232655420818
89,Strasbourg,Lille,3.24,3.41,2.25,0,3,2022-2023,0,1,1534.684346305419,1526.2939629429939,1591.0987761422134,1599.4891595046386,-2,2,0,-2,2,0.2400000000000002,-56.4144298367944,8,16,-8,-0.6595481433361033,-0.19673705929854526,0.044024256179445026
90,Lille,Lens,2.69,3.39,2.7,1,0,2022-2023,1,0,1579.9315242946222,1591.0987761422134,1620.671709494773,1609.5044576471819,-1,-2,3,0,5,0.3420000000000001,-40.74018520015079,13,21,-8,-0.6702964586722195,-0.11468818408400726,1.2717231170055912
91,Rennes,Nantes,1.5,4.44,6.41,3,0,2022-2023,1,0,1598.0436283792942,1605.6057984609124,1511.6043592441401,1504.042189162522,3,0,-3,9,-7,-3.4520000000000013,86.43926913515406,15,7,8,0.9150784211845852,2.630541934474398,-0.7173029119673556
92,Angers,Strasbourg,2.72,3.36,2.67,2,3,2022-2023,0,1,1452.9272287987653,1445.0213945117866,1526.7785120184403,1534.684346305419,2,-3,1,1,6,2.3219999999999996,-73.851283219675,8,5,3,0.20671752849058636,-0.4179567761890185,1.7419274811726808
93,Brest,Lorient,2.31,3.45,3.16,1,2,2022-2023,0,1,1466.6571366853723,1458.4697330453084,1530.3368017048708,1538.5242053449347,-5,2,3,-9,2,4.483999999999999,-63.67966501949854,6,22,-16,-1.448123203654204,-1.695873787826232,-0.6940941180659143
94,Clermont,Auxerre,2.25,3.32,3.4,2,1,2022-2023,1,0,1470.6535432187277,1481.1388861028704,1487.5293412137175,1477.0439983295748,2,0,-2,3,-8,-0.8859999999999992,-16.875797994989853,13,8,5,0.5757221454968594,1.4111970864841725,-1.6345715798585845
95,Nice,Troyes,1.85,3.49,4.67,3,2,2022-2023,1,0,1545.0289279617214,1552.7636027768972,1464.934125028005,1457.199450212829,0,-2,2,-6,-2,-0.4159999999999995,80.09480293371644,8,11,-3,-0.27792982775027997,-0.9761578896743921,-1.124993007005473
96,Montpellier,Monaco,4.14,4.13,1.81,0,2,2022-2023,0,1,1472.5273091388628,1467.340622502306,1654.8321891421983,1660.0188757787553,-2,0,2,-4,4,0.9460000000000002,-182.30488000333548,12,17,-5,-0.4913008413149977,-1.1419755437108716,0.49806181808612837
97,Reims,Paris SG,8.61,5.61,1.34,0,0,2022-2023,0,0,1487.84920281888,1494.0815254347053,1741.5719857778806,1735.3396631620553,-4,2,2,-3,8,1.632,-253.7227829590006,7,25,-18,-1.548325010640025,-0.6010272815954668,1.343919856063499
98,Marseille,AC Ajaccio,1.52,4.12,7.22,1,2,2022-2023,0,1,1658.3510787047599,1642.4137134346488,1420.9075788722769,1436.844944142388,3,1,-4,7,-5,-1.3380000000000003,237.44349983248298,23,4,19,1.7102503102017068,1.2833351743994803,-0.3612996367729592
99,Lyon,Toulouse,1.45,5.11,6.46,1,1,2022-2023,0,0,1587.4797915833199,1583.2408683195208,1430.290395756046,1434.5293190198452,-1,0,1,1,-2,-1.4540000000000002,157.18939582727376,13,11,2,0.21730366684985108,0.23466361498076782,-0.3233324917044555
