,Equipe_D,Equipe_E,Cote_D,Cote_N,Cote_E,Score_D,Score_E,Saison,Winner_D,Winner_E,Elo_D_Before,Elo_D,Elo_E_Before,Elo_E,Diff_Victoire,Diff_Nul,Diff_Defaite,Diff_But,Diff_Encaisse,Diff_Moyenne_cote,Diff_Elo_Before,Points_a,Points_b,Diff_Points,PCA1,PCA2,PCA3
965,Monaco,Reims,1.84,3.52,4.51,1,1,2019-2020,0,0,1555.9823543541042,1555.5926840015513,1542.4369609560085,1542.8266313085614,1,-1,0,-1,-1,-1.5,13.545393398095712,39,37,2,0.1972299152470653,-0.08927392068886558,-0.3563758593053073
966,Montpellier,Strasbourg,2.49,3.03,3.16,3,0,2019-2020,1,0,1554.094963641222,1563.412522281186,1530.3476105106483,1521.0300518706842,-1,-1,2,-4,5,3.8120000000000003,23.74735313057363,37,38,-1,-0.2030255753639943,-1.4831603097450916,0.8654180779959558
967,Toulouse,Rennes,3.66,3.42,2.08,0,2,2019-2020,0,1,1373.000012561055,1368.2982778964258,1577.9536415206182,1582.6553761852474,-2,0,2,-5,2,3.326000000000001,-204.95362895956328,13,44,-31,-2.5210282988726065,0.4914635517212632,-0.46067499129971706
968,Paris SG,Dijon,1.1,11.10,19.98,4,0,2019-2020,1,0,1768.9942750864982,1772.0348607634846,1470.4128331427808,1467.3722474657943,3,-2,-1,10,2,-2.08,298.58144194371744,65,27,38,3.1465805159915536,-0.10066207997655625,2.197688910815855
969,Nimes,Marseille,3.45,3.31,2.19,2,3,2019-2020,0,1,1496.4695120247238,1490.5135772627104,1645.486674469244,1651.4426092312574,1,-1,0,4,0,1.5199999999999996,-149.01716244452018,27,52,-25,-1.8587580641137373,2.643451079094108,0.12455361091413207
970,Paris SG,Bordeaux,1.12,9.46,19.55,4,3,2019-2020,1,0,1765.0531490268859,1768.9942750864982,1521.0152439549217,1517.0741178953094,2,-2,0,11,3,-1.6979999999999995,244.03790507196413,62,35,27,2.281105228454041,0.6168012631183638,2.4534152419413817
971,Rennes,Nimes,1.59,3.68,6.75,2,1,2019-2020,1,0,1569.8083455250326,1577.9536415206182,1504.6148080203095,1496.4695120247238,-3,2,1,-6,1,-0.8860000000000001,65.19353750472305,41,27,14,0.9976643639802694,-2.549580873023215,-0.30833023805623394
972,St Etienne,Reims,2.37,3.02,3.39,1,1,2019-2020,0,0,1516.4732627596586,1517.2411448724706,1543.2048430688205,1542.4369609560085,-1,-1,2,-1,4,-0.27199999999999935,-26.731580309161927,28,36,-8,-0.665277353686774,-0.17702055674750458,0.8218388129963552
973,Angers,Montpellier,2.56,3.03,3.05,1,0,2019-2020,1,0,1494.7383086627322,1506.7644411520166,1566.1210961305064,1554.094963641222,-2,0,2,-3,0,-3.054000000000001,-71.38278746777428,30,37,-7,-0.562983231897383,-0.33294150497451047,-0.4307185548388466
974,Dijon,Monaco,3.74,3.74,1.95,1,1,2019-2020,0,0,1467.86071324282,1470.4128331427808,1558.534474254065,1555.9823543541042,-2,2,0,3,2,1.9679999999999997,-90.67376101124478,26,38,-12,-0.9090365719436113,1.1338880056746585,0.6132750583322066
975,Lille,Toulouse,1.32,5.10,10.55,3,0,2019-2020,1,0,1597.9851892273623,1602.370767841038,1377.3855911747307,1373.000012561055,3,-1,-2,6,-2,-2.9300000000000006,220.59959805263156,40,13,27,2.286420987178068,0.1852516574537902,0.4953199881386104
976,Strasbourg,Amiens,1.8,3.50,4.82,0,0,2019-2020,0,0,1532.6920035770065,1530.3476105106483,1449.6959576395307,1452.0403507058888,3,-2,-1,3,-4,-0.8959999999999999,82.99604593747586,37,21,16,1.3905466569582101,0.3392918269215079,-0.4036925306728832
977,Marseille,Nantes,1.86,3.42,4.6,1,3,2019-2020,0,1,1659.3807531006823,1645.486674469244,1516.5493350322492,1530.4434136636876,3,0,-3,-1,-8,-1.706,142.8314180684331,52,34,18,1.5452083692713614,-0.18346943932649196,-1.9889584598193817
978,Metz,Lyon,4.38,3.51,1.87,0,2,2019-2020,0,1,1463.3545792674718,1456.7933546684474,1587.9044957785648,1594.4657203775892,1,0,-1,-1,-3,1.5100000000000002,-124.54991651109299,28,34,-6,-0.41851180707252106,0.6124043160605859,-0.992929330748455
979,Nice,Brest,1.98,3.74,3.62,2,2,2019-2020,0,0,1554.574743120674,1552.6580837903223,1487.1492864515615,1489.0659457819131,0,0,0,1,-1,-0.20000000000000018,67.42545666911246,36,33,3,0.28815824837936094,0.17967411549458484,-0.10496544896692825
980,Lille,Marseille,2.13,3.02,4.02,1,2,2019-2020,0,1,1606.728048428687,1597.9851892273623,1650.6378938993576,1659.3807531006823,0,-2,2,1,4,0.9580000000000002,-43.90984547067046,40,49,-9,-0.7148225164382624,0.38185173940281647,1.0911014283687799
981,Brest,St Etienne,2.68,3.12,2.83,3,2,2019-2020,1,0,1475.654879421972,1487.1492864515615,1527.967669789248,1516.4732627596586,1,2,-3,5,-2,0.81,-52.312790367275966,30,28,2,0.2945432565619177,1.435038920525142,-0.07703614781381778
982,Reims,Rennes,2.79,2.79,3.02,1,0,2019-2020,1,0,1531.7916589002195,1543.2048430688205,1581.2215296936333,1569.8083455250326,-1,0,1,1,3,0.5960000000000001,-49.429870793413784,33,41,-8,-0.6264374114802251,0.3905146498155861,0.7563305303041944
983,Lyon,Strasbourg,1.68,3.63,5.66,1,1,2019-2020,0,0,1589.5739667431105,1587.9044957785648,1531.0225326124607,1532.6920035770065,-1,1,0,0,3,-0.1759999999999997,58.551434130649795,33,36,-3,-0.2424138680214093,-0.09168753728343498,0.6197552283855284
